,Retorno,Risco,Sharpe,PETZ3.SA Peso,VIVA3.SA Peso,VIIA3.SA Peso,AZUL4.SA Peso
0,-0.24428316158028765,0.5128529066511478,-0.47632207678302907,0.176,0.403,0.297,0.125
1,-0.2028576522244417,0.5428010913382701,-0.3737237368559786,0.093,0.343,0.348,0.216
2,-0.5093961639102427,0.5631328633344459,-0.9045754511537202,0.505,0.151,0.261,0.083
3,-0.3905269618047186,0.5483539406162552,-0.7121804602440418,0.371,0.249,0.023,0.358
4,-0.37640787159893596,0.5449139596610305,-0.690765697823349,0.327,0.221,0.23,0.223
5,-0.2868541743768051,0.4831905072054966,-0.5936668251944953,0.273,0.465,0.093,0.168
6,-0.5486767582843409,0.5444524176940811,-1.0077588792940826,0.596,0.204,0.027,0.173
7,-0.3063227486005677,0.47238719356761527,-0.6484569284936005,0.324,0.522,0.011,0.144
8,-0.4800302121316864,0.6008224254455395,-0.7989552183837351,0.42,0.035,0.364,0.181
9,-0.3355667816132646,0.5861742284026763,-0.5724693535703258,0.269,0.193,0.071,0.467
10,-0.24078518988618589,0.5367284090526745,-0.4486164432979646,0.148,0.339,0.361,0.152
11,-0.15236485817103232,0.5480327909480452,-0.27802142624979687,0.03,0.372,0.287,0.31
12,-0.3446007603537199,0.5286177898783451,-0.6518902067844247,0.297,0.287,0.251,0.165
13,-0.2343683561736333,0.5128149832786325,-0.45702322244023,0.169,0.4,0.177,0.254
14,-0.19402541852406588,0.6243562948405013,-0.31076073089586104,0.02,0.166,0.465,0.35
15,-0.5425726634011855,0.582503920981279,-0.9314489462786348,0.537,0.099,0.302,0.062
16,-0.3412005415091385,0.5084413095913176,-0.6710716361410398,0.317,0.371,0.239,0.073
17,-0.22143067000629044,0.6153787400669468,-0.3598282741815245,0.071,0.239,0.629,0.061
18,-0.3644665210611114,0.5319767034236625,-0.6851174472782369,0.324,0.263,0.194,0.219
19,-0.28218059027027753,0.5213169869104751,-0.5412840888661392,0.22,0.339,0.224,0.217
20,-0.5196432329336985,0.5828479805888607,-0.8915587773139312,0.5,0.058,0.17,0.272
21,-0.2434817497551917,0.5689288211269108,-0.4279652229129702,0.135,0.252,0.247,0.366
22,-0.26125970553647176,0.6109076273324167,-0.42765828064266587,0.154,0.195,0.124,0.527
23,-0.4495115663531291,0.5581212525542303,-0.8054012713114737,0.429,0.219,0.339,0.013
24,-0.34317849193394323,0.5910016644067346,-0.5806726319094824,0.26,0.145,0.164,0.431
25,-0.16417879592379261,0.5672052184776984,-0.28945219574041675,0.052,0.354,0.154,0.439
26,-0.4173727751784909,0.6006107313321719,-0.6949139490943594,0.335,0.05,0.294,0.321
27,-0.23669402903749542,0.5954761760401766,-0.3974869836295949,0.101,0.191,0.334,0.374
28,-0.6110647447346856,0.565269534323896,-1.0810148214790385,0.667,0.139,0.085,0.109
29,-0.29989815947067244,0.5448016516039011,-0.5504721921964985,0.233,0.34,0.425,0.001
30,-0.4563526574709732,0.6038275196827361,-0.7557665767051337,0.383,0.031,0.367,0.219
31,-0.6411735589476535,0.5961405920291537,-1.0755408497938646,0.673,0.012,0.122,0.193
32,-0.17122408627178556,0.5565909478996222,-0.30763002330153744,0.043,0.332,0.341,0.283
33,-0.13141806379196802,0.5483842118772255,-0.23964596526602852,0.025,0.429,0.141,0.405
34,-0.33299134653377604,0.6116024725626501,-0.5444571620819694,0.235,0.113,0.17,0.482
35,-0.37796721283757967,0.5502014049817484,-0.6869615551965336,0.325,0.203,0.222,0.25
36,-0.3424555834309678,0.514619052172291,-0.6654545376534485,0.311,0.328,0.175,0.186
37,-0.36051786097412547,0.5069371089624578,-0.7111688108846345,0.349,0.35,0.112,0.189
38,-0.4480991730777762,0.6048104551965934,-0.740891909568795,0.378,0.079,0.458,0.085
39,-0.30841748950692865,0.5297751552092406,-0.5821667673054917,0.267,0.327,0.073,0.332
40,-0.4976678867270343,0.5264566550021441,-0.9453159761557339,0.534,0.273,0.1,0.093
41,-0.13605043525229704,0.5498666069290894,-0.2474244362866757,0.045,0.453,0.059,0.442
42,-0.3291342822355997,0.5400164059911836,-0.6094894128845656,0.264,0.27,0.323,0.142
43,-0.12345047556348362,0.4749511022605221,-0.2599224951282839,0.059,0.611,0.234,0.096
44,-0.2921733044460269,0.5240932302314566,-0.5574834544552191,0.229,0.336,0.297,0.138
45,-0.16155859901073352,0.5529337386938041,-0.2921843752786429,0.036,0.352,0.312,0.3
46,-0.3550236740574932,0.5348933629847344,-0.6637279477098791,0.325,0.285,0.069,0.321
47,-0.3842533857431842,0.5996485070774883,-0.6407977026673892,0.287,0.076,0.37,0.268
48,-0.36438052928704523,0.5369520823579425,-0.6786090253843959,0.32,0.281,0.318,0.082
49,-0.17427387624835,0.6259467362640702,-0.2784164628583166,0.013,0.201,0.291,0.495
50,-0.5575971292769113,0.5756469789635182,-0.9686442379683697,0.572,0.085,0.07,0.273
51,-0.25079774377856073,0.656261015596133,-0.38216157568150166,0.067,0.055,0.563,0.314
52,-0.18040784820128095,0.4799391781175155,-0.37589731454910974,0.129,0.562,0.256,0.053
53,-0.35561415341021146,0.5499071380468609,-0.6466803734777261,0.292,0.216,0.266,0.226
54,-0.3868307057628141,0.6268559257050582,-0.6170966722979049,0.274,0.008,0.335,0.383
55,-0.3977132127698788,0.5435821574393136,-0.731652441727321,0.357,0.219,0.255,0.169
56,-0.27052440121012855,0.5665779607902445,-0.47747074530186445,0.168,0.231,0.27,0.331
57,-0.23439805735727132,0.5591834639055796,-0.41917916477739475,0.139,0.296,0.177,0.388
58,-0.21976992246203308,0.5858596308451324,-0.37512385372073476,0.101,0.249,0.211,0.439
59,-0.37098512281076723,0.5333361896649153,-0.6955933799351774,0.332,0.256,0.191,0.221
60,-0.2677739323043439,0.5063548204292272,-0.5288266675872801,0.239,0.432,0.029,0.3
61,-0.27760904255738295,0.515763086149838,-0.5382491496817451,0.217,0.361,0.263,0.158
62,-0.29796275862375843,0.5267796886725215,-0.5656306896999409,0.234,0.318,0.276,0.172
63,-0.32537327608406946,0.5431211729739298,-0.5990804488479914,0.267,0.261,0.16,0.312
64,-0.41816839968316616,0.571667971259882,-0.7314882426622176,0.361,0.154,0.368,0.117
65,-0.19909501945688912,0.5605314665853156,-0.35518972854414393,0.074,0.301,0.365,0.26
66,-0.16194238309275322,0.5897371193398516,-0.27460096673926615,0.007,0.269,0.387,0.338
67,-0.12637965863363274,0.48451199434880726,-0.26083907128757305,0.075,0.607,0.05,0.269
68,-0.4293647954143209,0.5315006427074526,-0.8078349505414445,0.421,0.246,0.13,0.204
69,-0.34315030652442774,0.5983830045183073,-0.5734626550776798,0.281,0.184,0.026,0.509
70,-0.378919792203052,0.5122714227130286,-0.7396855951797269,0.367,0.34,0.204,0.09
71,-0.38054447127220414,0.5928694528687407,-0.6418689130142372,0.29,0.09,0.31,0.31
72,-0.2556462725275814,0.6252105287124055,-0.40889630098532415,0.109,0.195,0.64,0.056
73,-0.209460098206425,0.5580724604897926,-0.3753277809526602,0.088,0.306,0.412,0.193
74,-0.427859879832579,0.5067217349573003,-0.8443685169112259,0.454,0.371,0.146,0.029
75,-0.28335427742715064,0.6344923979991998,-0.4465841959977399,0.13,0.116,0.61,0.144
76,-0.32279111137923777,0.5409085577334914,-0.5967572647247313,0.259,0.26,0.214,0.267
77,-0.3282473349345343,0.6251144513311608,-0.525099578542045,0.196,0.052,0.371,0.381
78,-0.34390845770809664,0.5223035329643362,-0.6584455895908699,0.303,0.305,0.225,0.167
79,-0.3898298284816012,0.5759745835733248,-0.6768177617545404,0.317,0.127,0.277,0.279
80,-0.5936470549180203,0.5677636605051548,-1.045588325237012,0.632,0.112,0.103,0.152
81,-0.28423177855518117,0.6597077360476764,-0.43084499851103764,0.11,0.014,0.495,0.381
82,-0.5317115812065849,0.5578179940656373,-0.953199048548476,0.544,0.145,0.156,0.156
83,-0.30419317485335484,0.5377901949748966,-0.5656354052114212,0.24,0.284,0.185,0.291
84,-0.3957198900806245,0.5440057884790489,-0.7274185283707965,0.361,0.216,0.148,0.274
85,-0.34526957651423934,0.5370074184756628,-0.642951223084243,0.289,0.259,0.268,0.183
86,-0.40449759824729226,0.5889451794574995,-0.6868170627016438,0.337,0.098,0.188,0.377
87,-0.20787595530852906,0.5768617973909905,-0.36035659883996973,0.101,0.296,0.15,0.453
88,-0.38597849287513314,0.5527842018618043,-0.6982444353061079,0.332,0.211,0.326,0.131
89,-0.18569249061375753,0.5281429224417427,-0.351595151091399,0.085,0.39,0.292,0.232
90,-0.44979458990485893,0.563779421737544,-0.7978201625710483,0.415,0.134,0.196,0.255
91,-0.2073508551207347,0.5752600391953209,-0.36044717343964827,0.099,0.295,0.163,0.443
92,-0.19311965573321405,0.6441214635275246,-0.29981869362898766,0.008,0.125,0.452,0.415
93,-0.1438857321688355,0.47575038025866,-0.3024395526296931,0.104,0.612,0.041,0.242
94,-0.2841140299237444,0.5289098320716554,-0.5371691216457729,0.213,0.327,0.319,0.14
95,-0.262362151031905,0.5809809073660773,-0.4515848071864263,0.139,0.219,0.453,0.19
96,-0.29684284562164587,0.6209029157939728,-0.4780825440996058,0.184,0.125,0.175,0.515
97,-0.29595670227112686,0.6064196494564924,-0.48803943364364927,0.163,0.117,0.42,0.299
98,-0.3312089323631025,0.5612319749797291,-0.5901462267453049,0.265,0.22,0.145,0.37
99,-0.2000393213739769,0.5616153100579392,-0.35618566266176005,0.128,0.393,0.002,0.476
